Folio,MES,AÑO,TRIMESTRE,PUNTO_ENTRADA,TERMINAL,AEROLINEA,NO_DE_VUELO,DESTINO_HOSPEDADO,LUGAR_DE_ORIGEN,ESTADOS_MEXICO,ESTADOS_USA,CANADA,SUDAMERICA,EUROPA,OTROS_PAIS,TIPO_PAQUETE,AGENCIA_DE_VIAJES,DONDE_COMPRO_VACACIONES,MOTIVO_PRINCIPAL,VECES_CANCUN,VECES_RANGOS,ESTANCIA,ESTANCIA_RANGOS,OTRO_LUGAR_PERNOCTO,NUMERO_DE_NOCHES,OTRO_LUGAR_PERNOCTO2,NUMERO_DE_NOCHES2,OTRO_LUGAR_PERNOCTO3,NUMUERO_NOCHES3,OTRO_LUGAR_PERNOCTO4,NUMERO_NOCHES4,NUMERO_ADULTOS,NIÑOS,TAMAÑO_GRUPO,CON_QUIEN_VIAJO,GASTO_TOTAL,GASTO_AVION,GASTO_HOTEL,GASTO_TRANSPORTE_TERRESTRE,GASTO_RESTAURANTES,GASTO_BARES,GASTO_TOURS,GASTO_COMPRA,DONDE_SE_HOSPEDO,HOTEL,TOUR1,TOUR2,TOUR3,TOUR4,OTRO_TOUR,TOUR_FAVORITO,NDONDE_COMPRO_TOUR,NADO_CON_DELFINES,SITIO1,SITIO2,Folio_2,REST_SMART_PHONE,BARES_SMART_PHONE,CENTROS_COMERCIALES_SMART_PHONE,TOURS_SMART_PHONE,OTROS_USOS_PHONE,CALIF_AEROPUERTO,CALIF_HOTEL,CALIF_AGENCIA,CALIF_TRANSPORTE,CALIF_RESTAURANTE,CALIF_BARES,CALIF_MALLS,CALIF_TOURS,CALIF_PLAYAS,CALIF_SEGURIDAD,CALIF_MEDIDAS_SANITARIAS,MEDIOS1,MEDIOS2,MEDIOS3,CUAL_RED_SOCIAL,QUE_OTRO_DESTINO_CARIBE1,QUE_OTRO_DESTINO_CARIBE2,QUE_OTRO_DESTINO_CARIBE3,CONSUMO_DE_RECURSOS,CONSUMO_DE_RECURSOS2,CONSUMO_DE_RECURSOS3,SUSTENTABLE_DESTINO_TURISTICO,IMPORTANTE_SUSTENTABILIDAD_DESTINO,QUE_OTRO_DESTINO_CONSIDERO1,QUE_OTRO_DESTINO_CONSIDERO2,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE1,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE2,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE3,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE4,IMPERDIBLES1,IMPERDIBLES2,IMPERDIBLES3,PALABRAS_EXPERIENCIA1,PALABRAS_EXPERIENCIA2,PALABRAS_EXPERIENCIA3,PALABRAS_PARAISO1,PALABRAS_PARAISO2,PALABRAS_PARAISO3,E_13AÑOS19AÑOS,E_20AÑOS29AÑOS,E_30AÑOS39AÑOS,EDAD_JEFE_DE_FAMILIA,INGRESO,CAPTURISTA,ENCUESTADOR,ESTUDIO_CUAL,FECHA_CAPTURA,HORA_CAPTURA,FOLIO_3,DESTINO_DURMIO1,NOCHES_DURMIO1,DESTINO_DURMIO2,NOCHES_DURMIO2,DESTINO_DURMIO3,NOCHES_DURMIO3,DESTINO_DURMIO4,NOCHES_DURMIO4,DESTINO_DURMIO5,NOCHES_DURMIO5,DESTINO_DURMIO6,NOCHES_DURMIO6,CODIGO_POSTAL,QUE_AÑO_FUE_VISITA_ANTERIOR,DESTINOS_DEL_CARIBE_MEXICANO1,DESTINOS_DEL_CARIBE_MEXICANO2,DESTINOS_DEL_CARIBE_MEXICANO3,DESTINOS_DEL_CARIBE_MEXICANO4,DESTINOS_DEL_CARIBE_MEXICANO5,DESTINOS_DEL_CARIBE_MEXICANO6,FRECUENCIA_HA_VISITADO_DESTINOS_DEL_CARIBE,REDES_SOCIALES_INSPIRAN_ELECCIÓN1,REDES_SOCIALES_INSPIRAN_ELECCIÓN2,REDES_SOCIALES_INSPIRAN_ELECCIÓN3,REDES_SOCIALES_INSPIRAN_ELECCIÓN4,GRUPO_ÉTNICO,ORIGEN_GRUPO_ÉTNICO,HABLA_ESPAÑOL,MOTIVO_PRINCIPAL_2,MOTIVO_PRINCIPAL_3,MOTIVOS_PARA_VIAJAR,QUE_TANTO_ENTIENDE_ESPAÑOL,SE_CONSIDERA_PARTE_DE_COMUNIDAD_LGBTQ,SEXO_ENCUESTADOR
35500,11.0,2024,4,,2,55,2044,6,1,23,,,,,,3,,1,4,1,1,7,3,,,,,,,,,2,,2,2,1500,,,,,,,,1,89,,,,,,,,2,,,35500,,,,1,,2,2,2,3,1,1,1,1,1,1,,9,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,2,,3,,7,4,1,28/11/2024,12:45:08 p. m.,35500,,,,,,,,,,,,,,,,,,,,,2,2,1,7,,1,,,11,9,,,,
8886,3.0,2024,1,,2,51,4705,1,1,,,,,,,1,,,13,2,2,7,3,,,,,,,,,55,,,5,,,,,,,,,1,629,11,,,,,,,2,,,8886,,,,,,1,1,,,1,,,,1,,,9,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,4,,7,,2,4,1,21/03/2024,11:03:07 a. m.,8886,,,,,,,,,,,,,52977,2021,,,,,,,2,2,,,,,,,,,6,,,
23480,7.0,2024,3,9,,55,1415,11,1,23,,,,,,7,,3,1,1,1,2,1,8,2,,,,,,,19,,19,3,715,300,300,,50,50,15,,1,,17,,,,,,,,3,331,23480,1,1,1,1,,2,1,2,3,2,3,3,1,1,1,,14,9,,,,,,,,,8,1,,,1,17,9,14,85,35,,17,30,,56,22,44,2,1,,,9,7,6,2,08/08/2024,10:00:53 a. m.,23480,,,,,,,,,,,,,,,13,12,,,,,3,2,,,,,,,4,9,4,,1,1
33456,10.0,2024,4,3,,,,8,1,1,,,,,,7,,1,,1,1,12,4,4,6,,,,,,,23,,23,3,1000,,,,,,,,1,,5,17,52,18,,,,,,,33456,1,,,,,2,3,,,3,,,2,,2,,14,,,,,,,,,,7,1,1,,19,,,,3,2,,71,22,,,,,,3,,4,8,7,6,2,07/11/2024,04:45:06 p. m.,33456,,,,,,,,,,,,,7230,,,,,,,,4,2,7,,,,,,,,4,,,1
16200,5.0,2024,2,,2,20,347,1,5,,,,9,,,3,16,1,10,1,1,5,3,,,,,,,,,16,,16,4,,,,,,,,,1,42,11,26,,,,,,1,30,,16200,,,,1,,1,3,4,,2,,3,2,3,3,,,,,,,,,,,,7,,56,,19,,,,3,,,,,,,,,,1,,4,,2,1,1,04/06/2024,04:23:34 p. m.,16200,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,2,,2,,,1
8639,3.0,2024,1,,2,133,5554,1,5,,,,23,,,7,,4,4,2,2,4,2,,,,,,,,,2,,2,2,1924,700,1224,,,,,,1,,83,91,42,,,,,2,,,8639,,,,,,2,1,,,,,,,2,,2,7,,,,,,,,,,9,2,,,,,1,14,,,,2,5,,,,,,1,,4,9,3,1,1,20/03/2024,11:57:22 a. m.,8639,,,,,,,,,,,,,,2023,,,,,,,3,2,,,,,,,,,,,,
5177,2.0,2024,1,,2,51,607,2,1,14,,,,,,7,,3,4,5,4,4,2,,,,,,,,,15,,15,4,1150,200,200,200,150,200,200,,5,,,,,,,,,2,,,5177,,,,,,2,,,2,,,,,2,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,3,,4,,7,1,1,14/02/2024,,5177,,,,,,,,,,,,,44470,2023,12,7,,,,,3,,,,,,,,2,,,,,
26420,8.0,2024,3,,2,55,1043,2,1,14,,,,,,1,,1,13,3,3,8,4,,,,,,,,,16,,16,3,2000,,,,,,,,1,811,21,33,52,,,,,2,,,26420,,,,,,2,1,1,2,1,1,1,1,1,2,,,,,,,,,,,,8,1,,,1,20,9,,20,,,,,,,,,,5,,4,8,3,1,1,02/09/2024,12:26:34 p. m.,26420,,,,,,,,,,,,,,2022,13,6,4,,,,4,,,,,,,,,,4,,2,2
17119,5.0,2024,2,1,,25,,3,2,,6,,,,,7,,9,4,1,1,5,3,,,,,,,,,12,,12,4,1764,,,,,,,,5,,11,17,,,,,,,6,,17119,1,,,,,1,,,1,2,,,,1,,,12,,,,,,,,,,8,2,12,,1,19,,,25,15,,12,5,,7,,,,1,,4,6,2,4,2,12/06/2024,11:48:51 a. m.,17119,,,,,,,,,,,,,80204,,,,,,,,3,2,,,,2,,,1,5,1,,1,1
8568,3.0,2024,1,,3,41,1611,7,2,,,,,,,7,,2,4,3,3,5,3,,,,,,,,,10,,10,4,1000,344,250,50,50,100,60,100,1,1296,6,11,32,85,,,,2,47,8,8568,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,13,9,,,10,12,,2,,,6,2,37,,17,14,15,,,,,5,,,6,3,,,10,,3,9,7,1,1,19/03/2024,04:13:21 p. m.,8568,,,,,,,,,,,,,63301,,,,,,,,1,2,7,,,1,,,3,6,5,1,2,
